Név;Nem;Osztály;math;history;biology;chemistry;physics;informatics;alchemy;astrology;Átlag
"Para Ottó";M;12a;"4, 3, 4";2;"3, 5, 4, 1";;"2, 2, 1, 5, 1";"2, 2, 5";;"5, 3, 3, 4, 4";3.10
"Pum Csaba";M;12a;"5, 1, 2, 1, 2";;"4, 4, 4, 5, 3";"2, 3, 5, 5, 1";;"2, 2";"3, 3, 2, 4";3;3.00
"Harm Csaba";M;12a;"1, 5";"2, 3, 5, 5";"2, 5, 5, 3";"3, 3, 3, 4";2;4;"3, 2";1;3.21
"Kard Elek";M;12a;"2, 1, 3, 3";"2, 5";"2, 4";;"1, 3";"2, 3";4;"4, 3, 1, 4";2.76
"Szalmon Mónika";F;12a;"5, 4, 3";"1, 5, 2, 3";"2, 2, 2, 2, 2";"3, 1, 4, 5";"1, 2, 3";;"5, 5, 3";2;2.91
"Kandisz Mónika";F;12a;"5, 3, 4, 1, 2";"4, 1, 2, 2, 5";"2, 5";"1, 2, 5, 1";"4, 3";"1, 2, 4, 3, 5";"1, 1";4;2.81
"Külö Blanka";F;12a;"3, 4, 2";"2, 2";4;"4, 5, 4, 3, 5";"4, 5, 4";"2, 4, 3";;"4, 2";3.47
"Major Szilárd";M;12a;"4, 5, 1, 4";"2, 2, 3, 5";"1, 5, 4";3;"4, 5, 3, 5";"5, 5, 4, 5, 2";3;"1, 1";3.42
"Békés Pál";M;12a;"3, 3, 5";"4, 4, 1, 5, 4";"4, 3, 1, 3, 2";;1;5;;"4, 1, 1";3.00
"Pop Elemér";M;12a;;"4, 4, 1";"3, 3, 1, 1";"1, 1, 3, 1, 1";;"3, 4, 2";"4, 5";"3, 2, 1, 4, 3";2.50
"Zsíros B. Áron";M;12a;;5;;"4, 1, 1, 1, 4";"4, 4, 3, 4, 2";"4, 5, 3, 4, 4";"4, 4, 1";"4, 4, 1";3.23
"Mikorka Áron";M;12a;;"1, 3, 5, 2, 1";"2, 4";3;"5, 4";3;"1, 3";"2, 2, 3";2.75
"Minden Blanka";F;12a;"3, 3, 1";1;;4;"4, 3";"4, 5, 5, 1, 5";;"4, 2, 1, 2";3.00
Osztályátlag;;12a;3.00;2.97;3.03;2.86;3.13;3.44;3.05;2.66;3.02
"Lapos Lenke";F;12b;1;;"2, 1, 5";;2;"1, 3";"4, 3, 4";"3, 3, 1";2.54
"Külö Virág";F;12b;3;"2, 3";"3, 5, 2, 4, 3";"1, 5";"5, 5, 3, 1";"4, 4, 2";"5, 2";3;3.25
"Víz Virág";F;12b;"2, 4, 1";"3, 1, 2, 3";"4, 4, 2, 4";"4, 1, 4, 3, 4";"1, 4, 1, 2, 4";2;"5, 2, 4";"1, 1, 4, 4";2.79
"Para Kálmán";M;12b;"2, 3, 2, 3";"1, 1, 1, 2";"3, 1";;"5, 3, 3";"5, 1, 5, 3, 3";5;"2, 5, 4, 2, 1";2.75
"Riz Emma";F;12b;;"4, 4";"1, 1, 4, 5";"4, 3, 4, 1";"2, 4, 5, 5, 4";5;"3, 1, 5, 5";3;3.48
"Szalmon Csaba";M;12b;;3;"4, 1";"3, 2, 4";"1, 1, 4";"2, 3, 1, 3, 2";"2, 2";"5, 4";2.61
"Bármi Mercédesz";F;12b;"4, 5, 5, 2, 1";"3, 5, 5, 4, 2";2;"2, 5, 5, 2";;"2, 4, 5, 3";"3, 2";4;3.41
"Kard Emma";F;12b;"2, 4";"2, 2, 4";"2, 1, 5";;2;"5, 5, 4, 5, 5";"3, 2";"5, 3";3.39
"Kasza Kálmán";M;12b;"1, 1, 3, 4, 1";3;"2, 1, 1, 1, 1";;"3, 5, 1, 1, 1";"4, 3, 1, 2";"2, 3, 5, 3";;2.21
"Szenyo Mónika";F;12b;"5, 4";"4, 4, 4, 4";"5, 4, 5, 3";5;5;"5, 1, 5, 1";1;4;3.83
"Szikla Áron";M;12b;;"4, 1, 1, 5, 4";1;"5, 3, 1, 4";"5, 1, 3, 1";;"1, 5, 2, 4";"3, 2, 3";2.81
"Dil Dóra";F;12b;4;;2;"3, 1, 1, 3, 4";4;"3, 2";"2, 1, 4, 5, 4";"4, 5, 2";3.00
"Ének Piroska";F;12b;"4, 3, 2, 5, 4";;"5, 5, 1";"3, 3, 4, 1, 1";"4, 1, 3, 1";;"1, 1, 3";;2.75
"Kard Ödön";M;12b;"2, 1, 1, 2, 5";"1, 2, 4, 1";"3, 4, 5, 1, 1";"5, 5";"4, 4";"5, 5, 2, 4";;"1, 2, 5, 2";2.96
Osztályátlag;;12b;2.82;2.83;2.79;3.11;2.92;3.25;3.03;3.03;2.97
"Remek Dóra";F;12c;;"4, 3, 3";;;"2, 2, 5";5;5;;3.63
"Fekete Mónika";F;12c;"1, 2, 4, 4, 2";"4, 4";"1, 2, 5, 4";"1, 2";"5, 2, 2, 5";4;"4, 3, 3, 5, 1";3;3.04
"Virra Anna";F;12c;"2, 3";"5, 3, 1";"4, 3";"1, 3";"2, 3, 4, 2";"4, 5, 5, 3";"2, 2, 2";4;3.00
"Szalmon Pál";M;12c;2;"2, 2, 2";3;"1, 4, 3, 2";1;;"5, 1";2;2.31
"Major Anna";F;12c;1;2;"5, 5, 3, 4";"3, 4, 5";2;;;"1, 1, 2, 1";2.79
"Kard Elemér";M;12c;"2, 5, 2";"1, 3";"2, 5";"4, 5, 3, 4";2;"2, 2, 2";"2, 1, 4, 1";5;2.85
"Pop Kálmán";M;12c;"2, 1";;"2, 5, 5, 2, 3";"2, 5, 3, 5";1;"5, 2, 1, 3, 5";"4, 1, 4";;3.05
"Szenyo Szilárd";M;12c;"2, 5";"2, 2, 4, 2";"4, 5, 1";"5, 1, 1";;"3, 3, 1, 4";"5, 2, 1";"3, 4, 3, 4, 4";2.96
"Szalmon Simon";M;12c;"1, 1, 5";"2, 4";1;"4, 1";"2, 5, 1, 3, 5";4;"5, 2";"3, 5, 1, 4, 1";2.86
"Remek Mercédesz";F;12c;;"2, 1";"1, 1, 4";2;"2, 5, 1, 3";"2, 1, 3";"4, 3";"4, 5, 2";2.56
"Fejet Anna";F;12c;5;;;5;"3, 4, 3";"3, 5, 5";"3, 5, 4";"3, 1, 2, 4";3.67
"Git Lenke";F;12c;"3, 1, 2, 1, 2";"2, 1, 3, 2, 2";"2, 1, 5, 5";"1, 1, 1, 3";"3, 4";"2, 1, 3";4;;2.29
Osztályátlag;;12c;2.44;2.52;3.21;2.83;2.90;3.14;3.03;2.88;2.87
